# Exploration %,Episodes,Rewards,Timestep,Training Score
9.945555555555554861e+01,2.400000000000000000e+01,2.260000000000000142e+01,1.000000000000000000e+03,4.837124943733215332e-01
9.891111111111111143e+01,4.800000000000000000e+01,2.339999999999999858e+01,2.000000000000000000e+03,4.789814352989196777e-01
9.836666666666667425e+01,7.200000000000000000e+01,2.269999999999999929e+01,3.000000000000000000e+03,4.062222242355346680e-01
9.782222222222222285e+01,8.800000000000000000e+01,2.330000000000000071e+01,4.000000000000000000e+03,3.883699774742126465e-01
9.727777777777777146e+01,1.120000000000000000e+02,2.230000000000000071e+01,5.000000000000000000e+03,3.786268234252929688e-01
9.673333333333333428e+01,1.280000000000000000e+02,2.260000000000000142e+01,6.000000000000000000e+03,4.671787023544311523e-01
9.618888888888889710e+01,1.520000000000000000e+02,2.289999999999999858e+01,7.000000000000000000e+03,3.485405445098876953e-01
9.564444444444444571e+01,1.840000000000000000e+02,2.239999999999999858e+01,8.000000000000000000e+03,3.814685642719268799e-01
9.509999999999999432e+01,2.160000000000000000e+02,2.089999999999999858e+01,9.000000000000000000e+03,5.992503166198730469e-01
9.455555555555555713e+01,2.480000000000000000e+02,1.889999999999999858e+01,1.000000000000000000e+04,1.015409469604492188e+00
9.401111111111110574e+01,2.640000000000000000e+02,2.050000000000000000e+01,1.100000000000000000e+04,6.984970569610595703e-01
9.346666666666666856e+01,2.960000000000000000e+02,1.919999999999999929e+01,1.200000000000000000e+04,8.519476652145385742e-01
9.292222222222221717e+01,3.360000000000000000e+02,1.769999999999999929e+01,1.300000000000000000e+04,6.673566102981567383e-01
9.237777777777777999e+01,3.520000000000000000e+02,1.780000000000000071e+01,1.400000000000000000e+04,3.106260895729064941e-01
9.183333333333332860e+01,3.760000000000000000e+02,1.869999999999999929e+01,1.500000000000000000e+04,6.031687259674072266e-01
9.128888888888889142e+01,3.840000000000000000e+02,1.950000000000000000e+01,1.600000000000000000e+04,4.940866827964782715e-01
9.074444444444445423e+01,4.080000000000000000e+02,2.110000000000000142e+01,1.700000000000000000e+04,3.653408586978912354e-01
9.020000000000000284e+01,4.400000000000000000e+02,2.210000000000000142e+01,1.800000000000000000e+04,1.282188773155212402e+00
8.965555555555555145e+01,4.640000000000000000e+02,2.160000000000000142e+01,1.900000000000000000e+04,1.299981021881103516e+01
8.911111111111111427e+01,4.960000000000000000e+02,1.900000000000000000e+01,2.000000000000000000e+04,2.799522590637207031e+01
8.856666666666667709e+01,5.280000000000000000e+02,1.889999999999999858e+01,2.100000000000000000e+04,1.268285179138183594e+01
8.802222222222222570e+01,5.520000000000000000e+02,1.900000000000000000e+01,2.200000000000000000e+04,1.554778695106506348e+00
8.747777777777777430e+01,5.760000000000000000e+02,1.939999999999999858e+01,2.300000000000000000e+04,3.012202072143554688e+01
8.693333333333332291e+01,6.000000000000000000e+02,1.930000000000000071e+01,2.400000000000000000e+04,7.760291099548339844e+00
8.638888888888888573e+01,6.320000000000000000e+02,1.930000000000000071e+01,2.500000000000000000e+04,4.527580261230468750e+00
8.584444444444444855e+01,6.640000000000000000e+02,1.919999999999999929e+01,2.600000000000000000e+04,1.272362995147705078e+01
8.529999999999999716e+01,6.960000000000000000e+02,1.839999999999999858e+01,2.700000000000000000e+04,1.047450828552246094e+01
8.475555555555555998e+01,7.280000000000000000e+02,1.900000000000000000e+01,2.800000000000000000e+04,4.440351963043212891e+00
8.421111111111110858e+01,7.520000000000000000e+02,1.860000000000000142e+01,2.900000000000000000e+04,6.801224708557128906e+00
8.366666666666667140e+01,7.760000000000000000e+02,1.919999999999999929e+01,3.000000000000000000e+04,7.179157733917236328e+00
8.312222222222222001e+01,8.000000000000000000e+02,1.980000000000000071e+01,3.100000000000000000e+04,1.613091087341308594e+01
8.257777777777776862e+01,8.400000000000000000e+02,1.830000000000000071e+01,3.200000000000000000e+04,1.247004318237304688e+01
8.203333333333333144e+01,8.720000000000000000e+02,1.700000000000000000e+01,3.300000000000000000e+04,1.299920463562011719e+01
8.148888888888889426e+01,9.040000000000000000e+02,1.669999999999999929e+01,3.400000000000000000e+04,1.904741668701171875e+01
8.094444444444444287e+01,9.280000000000000000e+02,1.780000000000000071e+01,3.500000000000000000e+04,2.135427474975585938e+01
8.040000000000000568e+01,9.600000000000000000e+02,1.800000000000000000e+01,3.600000000000000000e+04,8.946347236633300781e-01
7.985555555555555429e+01,9.840000000000000000e+02,1.819999999999999929e+01,3.700000000000000000e+04,1.196581459045410156e+01
7.931111111111110290e+01,1.024000000000000000e+03,1.639999999999999858e+01,3.800000000000000000e+04,7.593151330947875977e-01
7.876666666666666572e+01,1.048000000000000000e+03,1.719999999999999929e+01,3.900000000000000000e+04,2.715502023696899414e+00
7.822222222222222854e+01,1.088000000000000000e+03,1.580000000000000071e+01,4.000000000000000000e+04,3.094807434082031250e+01
7.767777777777777715e+01,1.104000000000000000e+03,1.800000000000000000e+01,4.100000000000000000e+04,5.419729709625244141e+00
7.713333333333332575e+01,1.128000000000000000e+03,1.719999999999999929e+01,4.200000000000000000e+04,8.203643798828125000e+00
7.658888888888888857e+01,1.152000000000000000e+03,1.889999999999999858e+01,4.300000000000000000e+04,6.120143413543701172e+00
7.604444444444445139e+01,1.184000000000000000e+03,1.880000000000000071e+01,4.400000000000000000e+04,5.543825149536132812e+00
7.550000000000000000e+01,1.216000000000000000e+03,1.789999999999999858e+01,4.500000000000000000e+04,5.428421974182128906e+00
7.495555555555554861e+01,1.248000000000000000e+03,1.730000000000000071e+01,4.600000000000000000e+04,4.055938243865966797e+00
7.441111111111111143e+01,1.280000000000000000e+03,1.810000000000000142e+01,4.700000000000000000e+04,6.712002754211425781e+00
7.386666666666667425e+01,1.304000000000000000e+03,1.889999999999999858e+01,4.800000000000000000e+04,6.258127689361572266e+00
7.332222222222222285e+01,1.328000000000000000e+03,2.000000000000000000e+01,4.900000000000000000e+04,1.168286204338073730e+00
7.277777777777777146e+01,1.368000000000000000e+03,1.950000000000000000e+01,5.000000000000000000e+04,7.013274431228637695e-01
7.223333333333332007e+01,1.392000000000000000e+03,1.839999999999999858e+01,5.100000000000000000e+04,4.517390429973602295e-01
7.168888888888889710e+01,1.424000000000000000e+03,1.869999999999999929e+01,5.200000000000000000e+04,4.360465049743652344e+00
7.114444444444444571e+01,1.448000000000000000e+03,1.930000000000000071e+01,5.300000000000000000e+04,2.220378398895263672e+00
7.059999999999999432e+01,1.456000000000000000e+03,2.089999999999999858e+01,5.400000000000000000e+04,1.940611720085144043e+00
7.005555555555555713e+01,1.472000000000000000e+03,2.300000000000000000e+01,5.500000000000000000e+04,1.934704184532165527e+00
6.951111111111110574e+01,1.488000000000000000e+03,2.500000000000000000e+01,5.600000000000000000e+04,3.122043609619140625e+00
6.896666666666666856e+01,1.512000000000000000e+03,2.739999999999999858e+01,5.700000000000000000e+04,4.209664463996887207e-01
6.842222222222223138e+01,1.520000000000000000e+03,2.969999999999999929e+01,5.800000000000000000e+04,3.141340494155883789e+00
6.787777777777776578e+01,1.536000000000000000e+03,3.169999999999999929e+01,5.900000000000000000e+04,4.645795822143554688e+00
6.733333333333332860e+01,1.552000000000000000e+03,3.360000000000000142e+01,6.000000000000000000e+04,2.910507619380950928e-01
6.678888888888889142e+01,1.560000000000000000e+03,3.460000000000000142e+01,6.100000000000000000e+04,2.753697335720062256e-01
6.624444444444444002e+01,1.576000000000000000e+03,3.620000000000000284e+01,6.200000000000000000e+04,5.655973434448242188e+00
6.570000000000000284e+01,1.592000000000000000e+03,3.450000000000000000e+01,6.300000000000000000e+04,1.981769323348999023e+00
6.515555555555555145e+01,1.600000000000000000e+03,3.750000000000000000e+01,6.400000000000000000e+04,2.949633836746215820e+00
6.461111111111111427e+01,1.608000000000000000e+03,3.920000000000000284e+01,6.500000000000000000e+04,3.090722084045410156e+00
6.406666666666667709e+01,1.632000000000000000e+03,3.670000000000000284e+01,6.600000000000000000e+04,5.020193099975585938e+00
6.352222222222222570e+01,1.648000000000000000e+03,3.700000000000000000e+01,6.700000000000000000e+04,2.966437816619873047e+00
6.297777777777777430e+01,1.664000000000000000e+03,3.670000000000000284e+01,6.800000000000000000e+04,2.166301488876342773e+00
6.243333333333333002e+01,1.680000000000000000e+03,3.610000000000000142e+01,6.900000000000000000e+04,2.044919431209564209e-01
6.188888888888888573e+01,1.688000000000000000e+03,3.700000000000000000e+01,7.000000000000000000e+04,2.931573152542114258e+00
6.134444444444444855e+01,1.704000000000000000e+03,3.510000000000000142e+01,7.100000000000000000e+04,3.607427477836608887e-01
6.079999999999999716e+01,1.712000000000000000e+03,3.700000000000000000e+01,7.200000000000000000e+04,2.337081730365753174e-01
6.025555555555555287e+01,1.728000000000000000e+03,3.839999999999999858e+01,7.300000000000000000e+04,2.809551358222961426e-01
5.971111111111111569e+01,1.736000000000000000e+03,3.939999999999999858e+01,7.400000000000000000e+04,2.695826053619384766e+00
5.916666666666666430e+01,1.752000000000000000e+03,3.950000000000000000e+01,7.500000000000000000e+04,1.251971423625946045e-01
